"Row.names"	"sum"	"sample.name"	"sample.no"	"sample"	"Phase"	"Region"	"Regime"	"Region_Regime"	"region_regime"	"sample_regime"	"sample_or_control"	"Sample_Type"	"is.neg"
"37"	"feed-M-Rep3"	42260	"M3"	209	"feed"	"challenge"	"feed"	"M"	"feed.M"	"feed.M"	"feed.M"	"sample"	"feed"	FALSE
"38"	"feed-V-Rep1"	60790	"V1"	195	"feed"	"challenge"	"feed"	"V"	"feed.V"	"feed.V"	"feed.V"	"sample"	"feed"	FALSE
"39"	"feed-V-Rep2"	65976	"V2"	201	"feed"	"challenge"	"feed"	"V"	"feed.V"	"feed.V"	"feed.V"	"sample"	"feed"	FALSE
"40"	"feed-V-Rep3"	51759	"V3"	220	"feed"	"challenge"	"feed"	"V"	"feed.V"	"feed.V"	"feed.V"	"sample"	"feed"	FALSE
"41"	"middle-MMV-T1-Rep1"	13437	"3_1_7_M"	166	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"42"	"middle-MMV-T1-Rep2"	279216	"3_1_2_M"	207	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"43"	"middle-MMV-T1-Rep3"	56516	"3_1_3_M"	199	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"44"	"middle-MMV-T1-Rep4"	1862	"3_1_4_M"	76	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"45"	"middle-MMV-T1-Rep5"	9138	"3_1_5_M"	5	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"46"	"middle-MMV-T1-Rep6"	59161	"3_1_6_M"	184	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
