"Row.names"	"sum"	"sample.name"	"sample.no"	"sample"	"Phase"	"Region"	"Regime"	"Region_Regime"	"region_regime"	"sample_regime"	"sample_or_control"	"Sample_Type"	"is.neg"
"46"	"middle-MMV-T1-Rep4"	2317	"3_1_4_M"	76	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"47"	"middle-MMV-T1-Rep5"	9562	"3_1_5_M"	5	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"48"	"middle-MMV-T1-Rep6"	59252	"3_1_6_M"	184	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"49"	"middle-MMV-T5-Rep1"	1130	"3_5_1_M"	53	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"50"	"middle-MMV-T5-Rep2"	25766	"3_5_2_M"	59	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"51"	"middle-MMV-T5-Rep3"	2031	"3_5_3_M"	65	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"52"	"middle-MMV-T5-Rep4"	1483	"3_5_4_M"	71	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"53"	"middle-MMV-T5-Rep5"	2762	"3_5_5_M"	136	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"54"	"middle-MMV-T5-Rep6"	69626	"3_5_6_M"	83	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"55"	"middle-MMV-T9-Rep1"	7427	"3_9_1_M"	111	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
