"Var1"	"Freq"
"142"	"Intrasporangiaceae"	7
"143"	"Isosphaeraceae"	13
"144"	"JG30-KF-CM45"	7
"145"	"JI49D030"	3
"146"	"KD3-93"	5
"147"	"Keratinibaculum"	4
"148"	"Kineosporiaceae"	6
"149"	"Ktedonobacteraceae"	1
"150"	"Labraceae"	1
"151"	"Lachnospiraceae"	27
"152"	"Lactobacillaceae"	137
"153"	"Legionellaceae"	46
"154"	"Leptospiraceae"	10
"155"	"Leptotrichiaceae"	5
"156"	"Leuconostocaceae"	19
"157"	"Listeriaceae"	1
"158"	"LWQ8"	47
"159"	"M2PB4-65 termite group"	1
"160"	"Marinifilaceae"	3
"161"	"Methyloligellaceae"	2
"162"	"Methylomonadaceae"	1
"163"	"Methylophilaceae"	11
"164"	"Micavibrionaceae"	1
"165"	"Microbacteriaceae"	37
"166"	"Micrococcaceae"	31
"167"	"Micromonosporaceae"	5
"168"	"Micropepsaceae"	4
"169"	"Microscillaceae"	15
"170"	"Microtrichaceae"	7
"171"	"Moraxellaceae"	86
"172"	"Morganellaceae"	17
"173"	"Moritellaceae"	11
"174"	"Mycobacteriaceae"	14
"175"	"Myxococcaceae"	1
"176"	"Nakamurellaceae"	3
"177"	"Nannocystaceae"	1
"178"	"Neisseriaceae"	16
"179"	"Nitrosomonadaceae"	23
"180"	"Nitrospiraceae"	6
"181"	"Nocardiaceae"	6
"182"	"Nocardioidaceae"	26
"183"	"NS11-12 marine group"	14
"184"	"Oligoflexus"	4
"185"	"Omnitrophaceae"	8
"186"	"Opitutaceae"	20
"187"	"Oscillospiraceae"	5
"188"	"Oxalobacteraceae"	68
"189"	"Paenibacillaceae"	11
"190"	"Paludibacteraceae"	14
"191"	"Paracaedibacteraceae"	25
"192"	"Parachlamydiaceae"	21
"193"	"Parvibaculaceae"	2
"194"	"Pasteurellaceae"	6
"195"	"Pectobacteriaceae"	1
"196"	"Pedosphaeraceae"	31
"197"	"Peptococcaceae"	3
"198"	"Peptoniphilus"	10
"199"	"Peptostreptococcaceae"	24
"200"	"Petrotogaceae"	1
"201"	"Phaselicystidaceae"	6
"202"	"PHOS-HE36"	1
"203"	"Phycisphaeraceae"	11
"204"	"Pirellulaceae"	32
"205"	"Planococcaceae"	32
"206"	"Polyangiaceae"	13
"207"	"Porphyromonadaceae"	2
"208"	"Porticoccaceae"	2
"209"	"Prevotellaceae"	19
"210"	"Prolixibacteraceae"	12
"211"	"Promicromonosporaceae"	2
"212"	"Propionibacteriaceae"	13
"213"	"Proteiniboraceae"	1
"214"	"Pseudoalteromonadaceae"	2
"215"	"Pseudomonadaceae"	58
"216"	"Pseudonocardiaceae"	5
"217"	"Psychromonadaceae"	6
"218"	"Puniceicoccaceae"	1
"219"	"Reyranellaceae"	16
"220"	"Rhizobiaceae"	39
"221"	"Rhizobiales Incertae Sedis"	21
"222"	"Rhodanobacteraceae"	10
"223"	"Rhodobacteraceae"	39
"224"	"Rhodocyclaceae"	33
"225"	"Rhodospirillaceae"	5
"226"	"Rhodothermaceae"	1
"227"	"Rickettsiaceae"	13
"228"	"Rikenellaceae"	6
"229"	"Roseiflexaceae"	3
"230"	"Rubinisphaeraceae"	8
"231"	"Rubritaleaceae"	10
"232"	"Ruminiclostridium"	1
"233"	"Ruminococcaceae"	24
"234"	"Saccharimonadaceae"	45
"235"	"Sandaracinaceae"	4
"236"	"Sanguibacteraceae"	2
"237"	"Saprospiraceae"	12
"238"	"SC-I-84"	8
"239"	"Schlesneriaceae"	9
"240"	"Selenomonadaceae"	12
"241"	"Shewanellaceae"	27
"242"	"Silvanigrellaceae"	4
"243"	"Simkaniaceae"	19
"244"	"SM2D12"	20
"245"	"Solibacteraceae"	1
"246"	"Solimonadaceae"	1
"247"	"Solirubrobacteraceae"	7
"248"	"Sphingobacteriaceae"	38
"249"	"Sphingomonadaceae"	86
"250"	"Spirochaetaceae"	6
"251"	"Spirosomaceae"	35
"252"	"Spongiibacteraceae"	2
"253"	"Sporanaerobacter"	1
"254"	"Sporichthyaceae"	15
"255"	"Sporomusaceae"	6
"256"	"Staphylococcaceae"	24
"257"	"Steroidobacteraceae"	1
"258"	"Streptococcaceae"	36
"259"	"Streptomycetaceae"	3
"260"	"Sulfurimonadaceae"	2
"261"	"Sulfurospirillaceae"	3
"262"	"Sutterellaceae"	13
"263"	"Synergistaceae"	7
"264"	"Syntrophomonadaceae"	3
"265"	"T34"	2
"266"	"Tepidanaerobacter"	1
"267"	"Tepidimicrobium"	4
"268"	"Terasakiellaceae"	1
"269"	"Terrimicrobiaceae"	2
"270"	"Thermaceae"	2
"271"	"Thermicanaceae"	1
"272"	"Thermoactinomycetaceae"	3
"273"	"Thermoanaerobacteraceae"	1
"274"	"Thermotogaceae"	1
"275"	"Thiotrichaceae"	1
"276"	"Tissierella"	5
"277"	"TRA3-20"	9
"278"	"Trueperaceae"	2
"279"	"UBA12409"	3
"280"	"UCG-010"	1
"281"	"Unknown Family"	14
"282"	"Vagococcaceae"	11
"283"	"Veillonellaceae"	26
"284"	"Vermiphilaceae"	3
"285"	"Verrucomicrobiaceae"	9
"286"	"Vibrionaceae"	90
"287"	"Vicinamibacteraceae"	5
"288"	"WD2101 soil group"	1
"289"	"Weeksellaceae"	64
"290"	"Woeseiaceae"	1
"291"	"Wohlfahrtiimonadaceae"	7
"292"	"WWH38"	2
"293"	"Xanthobacteraceae"	28
"294"	"Xanthomonadaceae"	35
"295"	"Xiphinematobacteraceae"	1
"296"	"Yersiniaceae"	15
