"Var1"	"Freq"
"142"	"Ilumatobacteraceae"	6
"143"	"Inquilinaceae"	2
"144"	"Intrasporangiaceae"	7
"145"	"Isosphaeraceae"	13
"146"	"JG30-KF-CM45"	7
"147"	"JI49D030"	3
"148"	"KD3-93"	5
"149"	"Keratinibaculum"	4
"150"	"Kineosporiaceae"	6
"151"	"Ktedonobacteraceae"	1
"152"	"Labraceae"	1
"153"	"Lachnospiraceae"	27
"154"	"Lactobacillaceae"	137
"155"	"Legionellaceae"	46
"156"	"Leptospiraceae"	10
"157"	"Leptotrichiaceae"	5
"158"	"Leuconostocaceae"	19
"159"	"Listeriaceae"	1
"160"	"LWQ8"	47
"161"	"M2PB4-65 termite group"	1
"162"	"Marinifilaceae"	3
"163"	"Methyloligellaceae"	2
"164"	"Methylomonadaceae"	1
"165"	"Methylophilaceae"	11
"166"	"Micavibrionaceae"	1
"167"	"Microbacteriaceae"	37
"168"	"Micrococcaceae"	31
"169"	"Micromonosporaceae"	5
"170"	"Micropepsaceae"	4
"171"	"Microscillaceae"	15
"172"	"Microtrichaceae"	7
"173"	"Moraxellaceae"	86
"174"	"Morganellaceae"	17
"175"	"Moritellaceae"	11
"176"	"Mycobacteriaceae"	14
"177"	"Myxococcaceae"	1
"178"	"Nakamurellaceae"	3
"179"	"Nannocystaceae"	1
"180"	"Neisseriaceae"	16
"181"	"Nitrosomonadaceae"	23
"182"	"Nitrospiraceae"	6
"183"	"Nocardiaceae"	6
"184"	"Nocardioidaceae"	26
"185"	"NS11-12 marine group"	14
"186"	"Oligoflexus"	4
"187"	"Omnitrophaceae"	8
"188"	"Opitutaceae"	20
"189"	"Oscillospiraceae"	5
"190"	"Oxalobacteraceae"	68
"191"	"Paenibacillaceae"	11
"192"	"Paludibacteraceae"	14
"193"	"Paracaedibacteraceae"	25
"194"	"Parachlamydiaceae"	21
"195"	"Parvibaculaceae"	2
"196"	"Pasteurellaceae"	6
"197"	"Pectobacteriaceae"	1
"198"	"Pedosphaeraceae"	31
"199"	"Peptococcaceae"	3
"200"	"Peptoniphilus"	10
"201"	"Peptostreptococcaceae"	24
"202"	"Petrotogaceae"	1
"203"	"Phaselicystidaceae"	6
"204"	"PHOS-HE36"	1
"205"	"Phycisphaeraceae"	11
"206"	"Pirellulaceae"	32
"207"	"Planococcaceae"	32
"208"	"Polyangiaceae"	13
"209"	"Porphyromonadaceae"	2
"210"	"Porticoccaceae"	2
"211"	"Prevotellaceae"	19
"212"	"Prolixibacteraceae"	12
"213"	"Promicromonosporaceae"	2
"214"	"Propionibacteriaceae"	13
"215"	"Proteiniboraceae"	1
"216"	"Pseudoalteromonadaceae"	2
"217"	"Pseudomonadaceae"	58
"218"	"Pseudonocardiaceae"	5
"219"	"Psychromonadaceae"	6
"220"	"Puniceicoccaceae"	1
"221"	"Reyranellaceae"	16
"222"	"Rhizobiaceae"	39
"223"	"Rhizobiales Incertae Sedis"	21
"224"	"Rhodanobacteraceae"	10
"225"	"Rhodobacteraceae"	39
"226"	"Rhodocyclaceae"	33
"227"	"Rhodospirillaceae"	5
"228"	"Rhodothermaceae"	1
"229"	"Rickettsiaceae"	13
"230"	"Rikenellaceae"	6
"231"	"Roseiflexaceae"	3
"232"	"Rubinisphaeraceae"	8
"233"	"Rubritaleaceae"	10
"234"	"Ruminiclostridium"	1
"235"	"Ruminococcaceae"	24
"236"	"Saccharimonadaceae"	45
"237"	"Sandaracinaceae"	4
"238"	"Sanguibacteraceae"	2
"239"	"Saprospiraceae"	12
"240"	"SC-I-84"	8
"241"	"Schlesneriaceae"	9
"242"	"Selenomonadaceae"	12
"243"	"Shewanellaceae"	27
"244"	"Silvanigrellaceae"	4
"245"	"Simkaniaceae"	19
"246"	"SM2D12"	20
"247"	"Solibacteraceae"	1
"248"	"Solimonadaceae"	1
"249"	"Solirubrobacteraceae"	7
"250"	"Sphingobacteriaceae"	38
"251"	"Sphingomonadaceae"	86
"252"	"Spirochaetaceae"	6
"253"	"Spirosomaceae"	35
"254"	"Spongiibacteraceae"	2
"255"	"Sporanaerobacter"	1
"256"	"Sporichthyaceae"	15
"257"	"Sporomusaceae"	6
"258"	"Staphylococcaceae"	24
"259"	"Steroidobacteraceae"	1
"260"	"Streptococcaceae"	36
"261"	"Streptomycetaceae"	3
"262"	"Sulfurimonadaceae"	2
"263"	"Sulfurospirillaceae"	3
"264"	"Sutterellaceae"	13
"265"	"Synergistaceae"	7
"266"	"Syntrophomonadaceae"	3
"267"	"T34"	2
"268"	"Tepidanaerobacter"	1
"269"	"Tepidimicrobium"	4
"270"	"Terasakiellaceae"	1
"271"	"Terrimicrobiaceae"	2
"272"	"Thermaceae"	2
"273"	"Thermicanaceae"	1
"274"	"Thermoactinomycetaceae"	3
"275"	"Thermoanaerobacteraceae"	1
"276"	"Thermotogaceae"	1
"277"	"Thiotrichaceae"	1
"278"	"Tissierella"	5
"279"	"TRA3-20"	9
"280"	"Trueperaceae"	2
"281"	"UBA12409"	3
"282"	"UCG-010"	1
"283"	"Unknown Family"	14
"284"	"Vagococcaceae"	11
"285"	"Veillonellaceae"	26
"286"	"Vermiphilaceae"	3
"287"	"Verrucomicrobiaceae"	9
"288"	"Vibrionaceae"	90
"289"	"Vicinamibacteraceae"	5
"290"	"WCHB1-02"	1
"291"	"WD2101 soil group"	1
"292"	"Weeksellaceae"	64
"293"	"Woeseiaceae"	1
"294"	"Wohlfahrtiimonadaceae"	7
"295"	"WWH38"	2
"296"	"Xanthobacteraceae"	28
"297"	"Xanthomonadaceae"	35
"298"	"Xiphinematobacteraceae"	1
"299"	"Yersiniaceae"	15
