"Var1"	"Freq"
"115"	"Caldicoprobacter"	1
"116"	"Calditerricola"	3
"117"	"Camelimonas"	1
"118"	"Campylobacter"	1
"119"	"Candidatus Accumulibacter"	5
"120"	"Candidatus Alysiosphaera"	1
"121"	"Candidatus Amoebophilus"	1
"122"	"Candidatus Bealeia"	2
"123"	"Candidatus Berkiella"	1
"124"	"Candidatus Captivus"	3
"125"	"Candidatus Cryptoprodotis"	1
"126"	"Candidatus Endonucleariobacter"	1
"127"	"Candidatus Finniella"	1
"128"	"Candidatus Fritschea"	1
"129"	"Candidatus Megaira"	3
"130"	"Candidatus Odyssella"	1
"131"	"Candidatus Omnitrophus"	8
"132"	"Candidatus Ovatusbacter"	10
"133"	"Candidatus Paracaedibacter"	6
"134"	"Candidatus Photodesmus"	1
"135"	"Candidatus Planktophila"	3
"136"	"Candidatus Protochlamydia"	2
"137"	"Candidatus Renichlamydia"	1
"138"	"Candidatus Rhabdochlamydia"	3
"139"	"Candidatus Saccharimonas"	3
"140"	"Candidatus Solibacter"	1
"141"	"Candidatus Trichorickettsia"	1
"142"	"Candidatus Udaeobacter"	1
"143"	"Candidatus Xiphinematobacter"	1
"144"	"Caproiciproducens"	1
"145"	"Carnimonas"	1
"146"	"Carnobacterium"	7
"147"	"Castellaniella"	2
"148"	"Catenococcus"	3
"149"	"Catenulispora"	2
"150"	"Caulobacter"	5
"151"	"Cellulomonas"	2
"152"	"Cellulophaga"	1
"153"	"Cellulosilyticum"	3
"154"	"Cellulosimicrobium"	1
"155"	"Cellvibrio"	4
"156"	"Cerasibacillus"	2
"157"	"Cereibacter"	2
"158"	"Cetobacterium"	7
"159"	"Chitinibacter"	1
"160"	"Chitinimonas"	1
"161"	"Chitinivorax"	1
"162"	"Chitinophaga"	2
"163"	"Chloracidobacterium"	1
"164"	"Christensenellaceae R-7 group"	4
"165"	"Chryseobacterium"	37
"166"	"Chryseomicrobium"	1
"167"	"Chthoniobacter"	6
"168"	"Chthonomonas"	1
"169"	"Chungangia"	3
"170"	"Citrobacter"	6
"171"	"CL500-29 marine group"	5
"172"	"CL500-3"	2
"173"	"Cloacibacillus"	2
"174"	"Cloacibacterium"	8
"175"	"Clostridium sensu stricto 1"	19
"176"	"Clostridium sensu stricto 12"	6
"177"	"Clostridium sensu stricto 13"	4
"178"	"Clostridium sensu stricto 15"	2
"179"	"Clostridium sensu stricto 16"	1
"180"	"Clostridium sensu stricto 18"	1
"181"	"Clostridium sensu stricto 19"	1
"182"	"Clostridium sensu stricto 5"	1
"183"	"Clostridium sensu stricto 7"	8
"184"	"Clostridium sensu stricto 8"	1
"185"	"Clostridium sensu stricto 9"	2
"186"	"Comamonas"	8
"187"	"Conexibacter"	6
"188"	"Coprococcus"	1
"189"	"Corynebacterium"	36
"190"	"Coxiella"	12
"191"	"Cupriavidus"	3
"192"	"Curtobacterium"	1
"193"	"Curvibacter"	4
"194"	"Cutibacterium"	5
"195"	"Cytophaga"	4
"196"	"Dechloromonas"	1
"197"	"Deefgea"	2
"198"	"Defluviimonas"	4
"199"	"Deinococcus"	8
"200"	"Delftia"	3
"201"	"Dermacoccus"	3
"202"	"Desulfobacter"	1
"203"	"Desulfonispora"	1
"204"	"Desulfosporosinus"	3
"205"	"Desulfovibrio"	1
